ID;Nome Fantasia;% de mercado;Nacionalidade;Associado;Tipo de Associado;Cidade;Estado;País
88;Empresa 88;0,36%;Multinacional;Sim;Efetivo;;;
89;Empresa 89;0,36%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
790;Empresa 790;0,35%;Nacional;Sim;Cooperador;Lagoa da Prata;Minas Gerais;Brasil
538;Empresa 538;0,33%;Multinacional;Sim;Cooperador;Rio de Janeiro;Rio de Janeiro;Brasil
119;Empresa 119;0,33%;Multinacional;Sim;Cooperador;Barueri;São Paulo;Brasil
584;Empresa 584;0,33%;Nacional;Sim;Cooperador;Goiânia;Goiás;Brasil
118;Empresa 118;0,33%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
669;Empresa 669;0,32%;Nacional;Sim;Cooperador;Joinville;Santa Catarina;Brasil
73;Empresa 73;0,29%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
457;Empresa 457;0,29%;Multinacional;Sim;Cooperador;Rio de Janeiro;Rio de Janeiro;Brasil
123;Empresa 123;0,28%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
487;Empresa 487;0,28%;Nacional;Sim;Efetivo;São Jerônimo;Rio Grande do Sul;Brasil
105;Empresa 105;0,27%;Nacional;Sim;Efetivo;Juiz de Fora;Minas Gerais;Brasil
141;Empresa 141;0,26%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
107;Empresa 107;0,26%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
658;Empresa 658;0,26%;Nacional;Sim;Efetivo;Taboão da Serra;São Paulo;Brasil
234;Empresa 234;0,25%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
13;Empresa 13;0,24%;Multinacional;Sim;Efetivo;Taboão da Serra;São Paulo;Brasil
1219;Empresa 1219;0,24%;;Sim;Efetivo;São Paulo;São Paulo;Brasil
769;Empresa 769;0,22%;Nacional;Sim;Cooperador;Goiânia;Goiás;Brasil
1266;Empresa 1266;0,22%;;Sim;;;;
17;Empresa 17;0,21%;Nacional;Sim;Efetivo;Valinhos;São Paulo;Brasil
715;Empresa 715;0,21%;Multinacional;Sim;Cooperador;Goiânia;Goiás;Brasil
129;Empresa 129;0,20%;Nacional;Sim;Efetivo;São Bernardo do Campo;São Paulo;Brasil
966;Empresa 966;0,20%;Nacional;Sim;Cooperador;Anápolis;Goiás;Brasil
18;Empresa 18;0,20%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
108;Empresa 108;0,19%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
1269;Empresa 1269;0,19%;;Sim;;;;
